tenure,signup_date,last_active_days,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,avg_monthly_usage,number_of_logins,complaints_count,customer_support_calls,late_payments,charges_per_month,tenure_group,engagement_score,Churn
16,2022-08-18,105,Female,0,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),102.61,1652.5,29.8,16,4,3,0,103.28,Regular,39.4,No
70,2018-02-15,21,Female,0,No,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,110.6,7735.66,81.2,15,4,4,2,110.51,Veteran,57.1,No
63,2018-09-06,199,Male,0,Yes,No,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),67.73,4265.95,69.0,5,1,2,2,67.71,Veteran,60.3,No
53,2019-07-12,115,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.07,1117.62,60.2,12,0,3,0,21.09,Veteran,64.9,No
7,2023-05-22,306,Male,0,Yes,No,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,78.07,550.64,73.9,18,3,7,3,78.66,New,48.9,Yes
26,2021-10-10,324,Male,1,No,Yes,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,73.63,1910.24,74.1,22,4,4,1,73.47,Loyal,44.1,No
1,2023-11-16,3,Female,0,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,67.62,70.08,61.8,16,4,3,1,70.08,New,42.6,Yes
6,2023-06-26,283,Female,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,32.51,195.07,70.9,24,2,3,1,32.51,New,54.8,No
45,2020-04-01,313,Male,0,Yes,No,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,62.33,2800.9,61.0,20,2,3,0,62.24,Loyal,65.9,No
50,2019-10-31,233,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,99.31,4962.48,94.0,16,3,6,1,99.25,Veteran,62.7,No
69,2018-03-26,222,Male,1,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),98.64,6813.87,55.7,12,3,4,0,98.75,Veteran,62.1,No
14,2022-10-07,169,Male,0,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.02,1301.98,58.5,15,3,5,2,93.0,Regular,44.2,Yes
17,2022-07-19,178,Male,1,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Credit card (automatic),95.0,1607.41,49.1,18,4,4,0,94.55,Regular,46.2,No
26,2021-10-18,28,Female,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,105.47,2745.63,64.5,16,5,4,2,105.6,Loyal,42.8,Yes
7,2023-05-21,52,Male,0,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,76.39,524.33,47.8,14,2,2,1,74.9,New,47.7,No
5,2023-07-25,19,Male,1,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.97,454.51,69.8,8,3,5,2,90.9,New,40.0,Yes
27,2021-09-10,200,Female,0,Yes,Yes,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),71.54,1933.26,78.7,20,3,5,1,71.6,Loyal,54.2,No
8,2023-05-02,63,Male,0,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),87.19,693.45,34.3,9,4,3,0,86.68,New,39.5,Yes
44,2020-04-13,129,Male,0,No,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,91.1,4007.75,104.5,26,3,6,3,91.09,Loyal,69.4,No
23,2022-01-02,235,Male,0,No,No,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),84.2,1940.15,72.7,17,1,0,1,84.35,Regular,61.8,No
58,2019-02-04,68,Female,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,21.24,1233.16,74.6,21,2,2,1,21.26,Veteran,71.8,No
46,2020-02-19,76,Male,0,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.39,4067.76,80.3,25,5,6,1,88.43,Loyal,61.0,No
12,2022-12-06,321,Male,0,No,No,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),86.63,1039.94,61.2,19,4,3,0,86.66,New,50.3,Yes
58,2019-02-23,167,Female,0,Yes,No,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Mailed check,79.54,4616.87,72.4,21,0,1,2,79.6,Veteran,70.0,No
55,2019-05-25,168,Male,0,No,No,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.39,5034.63,89.6,21,2,5,0,91.54,Veteran,69.9,No
19,2022-05-22,26,Male,0,Yes,No,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,86.42,1648.11,66.0,15,3,4,2,86.74,Regular,40.2,Yes
11,2023-01-31,29,Female,0,Yes,No,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,75.44,826.44,104.4,18,2,3,1,75.13,New,55.6,No
45,2020-03-25,237,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),111.78,5032.25,76.8,18,5,7,1,111.83,Loyal,48.8,No
5,2023-07-07,3,Female,0,Yes,Yes,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,111.93,556.07,73.0,22,5,6,1,111.21,New,33.5,Yes
7,2023-05-10,102,Male,0,No,Yes,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,94.5,648.54,24.1,15,4,3,0,92.65,New,29.2,Yes
0,2023-12-22,29,Male,0,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.04,0.0,64.0,19,3,5,1,87.04,New,42.6,Yes
54,2019-06-23,275,Male,0,Yes,Yes,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,64.87,3502.74,76.3,23,2,3,0,64.87,Veteran,69.6,No
43,2020-05-22,342,Female,0,No,No,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),64.78,2784.64,80.3,19,2,5,0,64.76,Loyal,65.1,No
47,2020-01-28,95,Female,1,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,92.19,4331.12,83.5,23,4,4,0,92.15,Loyal,61.2,No
53,2019-07-28,88,Male,0,Yes,No,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),60.36,3204.1,106.1,21,1,3,1,60.45,Veteran,77.0,No
25,2021-11-01,284,Female,0,Yes,No,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.78,519.83,42.4,12,1,3,1,20.79,Loyal,45.0,No
35,2021-01-10,184,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,36.11,1263.53,55.3,14,0,0,2,36.1,Loyal,60.1,No
5,2023-07-12,7,Female,1,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.28,443.19,44.5,13,4,5,0,88.64,New,37.8,No
4,2023-08-24,26,Female,1,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.83,108.72,104.0,22,1,2,0,27.18,New,63.6,Yes
43,2020-05-07,290,Male,0,Yes,Yes,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,76.87,3305.81,66.2,27,0,2,0,76.88,Loyal,74.6,No
26,2021-10-26,57,Male,0,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),76.98,2000.8,45.6,14,1,1,2,76.95,Loyal,42.5,No
34,2021-02-01,195,Male,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.93,847.57,64.9,20,1,1,0,24.93,Loyal,62.6,No
52,2019-08-17,159,Male,1,No,No,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),90.72,4725.51,83.0,14,4,4,0,90.88,Veteran,65.7,No
40,2020-08-22,316,Male,0,No,No,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,80.33,3214.82,79.9,24,3,4,0,80.37,Loyal,60.2,No
33,2021-03-10,238,Male,0,No,No,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),104.36,3437.89,71.5,18,2,5,0,104.18,Loyal,56.5,No
34,2021-02-18,271,Female,0,Yes,No,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,65.97,2247.58,38.7,12,0,3,0,66.11,Loyal,53.6,No
12,2022-12-23,321,Male,0,No,No,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,78.87,942.32,129.4,21,2,5,1,78.53,New,67.4,No
1,2023-11-11,6,Male,0,No,Yes,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,69.48,70.32,55.2,20,2,1,1,70.32,New,51.2,No
23,2022-01-09,238,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.0,459.0,39.0,20,0,1,0,19.96,Regular,64.5,No
8,2023-04-14,193,Male,1,Yes,No,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),56.45,456.1,39.1,11,0,5,1,57.01,New,41.4,Yes
21,2022-03-19,29,Female,0,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.41,936.07,47.5,14,3,6,1,44.57,Regular,41.4,No
60,2018-12-22,263,Female,1,No,No,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),95.75,5738.41,56.4,21,4,4,0,95.64,Veteran,61.7,No
9,2023-03-21,117,Male,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),83.45,746.04,85.1,22,4,4,0,82.89,New,50.5,Yes
2,2023-10-06,26,Male,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.15,39.56,79.0,20,4,7,0,19.78,New,48.0,Yes
11,2023-01-21,128,Female,0,Yes,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,97.94,1072.35,59.5,27,4,5,2,97.49,New,37.8,Yes
11,2023-01-02,126,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.81,302.25,53.8,16,1,3,0,27.48,New,50.8,No
43,2020-05-28,141,Male,0,No,No,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),91.63,3939.81,54.5,11,2,3,0,91.62,Loyal,52.0,No
34,2021-02-26,102,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),99.71,3393.97,55.4,18,5,5,1,99.82,Loyal,44.5,No
53,2019-07-23,343,Male,0,Yes,No,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),82.68,4382.15,60.5,15,6,4,0,82.68,Veteran,52.0,No
43,2020-06-01,322,Female,0,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,96.06,4123.43,66.2,18,6,7,1,95.89,Loyal,45.4,No
21,2022-03-06,13,Female,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),26.37,554.33,36.7,21,2,4,1,26.4,Regular,44.5,No
56,2019-04-22,181,Male,1,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.0,1120.47,82.8,25,1,3,0,20.01,Veteran,71.8,No
6,2023-06-29,110,Male,0,Yes,No,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),63.53,380.81,97.9,20,0,1,1,63.47,New,70.3,No
0,2023-12-13,9,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.0,0.0,71.4,20,1,1,0,20.0,New,53.9,No
3,2023-09-03,2,Male,0,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),62.43,191.96,78.8,21,2,1,0,63.99,New,53.1,No
48,2019-12-02,231,Female,0,Yes,Yes,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,58.39,2807.81,110.4,18,0,0,1,58.5,Loyal,85.7,No
25,2021-11-27,31,Male,0,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),88.38,2214.76,37.8,16,2,3,0,88.59,Loyal,49.5,Yes
6,2023-06-09,260,Female,0,Yes,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,93.96,556.04,72.4,14,6,5,1,92.67,New,38.1,Yes
29,2021-07-22,176,Male,0,No,No,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,75.26,2180.46,78.4,21,3,4,1,75.19,Loyal,61.6,No
6,2023-06-07,319,Female,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),35.98,218.72,80.2,20,2,2,0,36.45,New,51.7,No
46,2020-02-12,39,Male,1,No,No,No,No phone service,DSL,Yes,No,No,No,No,Yes,Two year,No,Credit card (automatic),63.75,2930.23,74.9,18,5,5,0,63.7,Loyal,51.8,No
24,2021-12-10,110,Female,0,Yes,No,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,84.35,2031.23,86.2,17,2,1,1,84.63,Regular,61.5,No
18,2022-06-07,305,Female,0,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),101.88,1831.29,60.7,12,4,3,0,101.74,Regular,41.8,No
11,2023-01-05,85,Female,1,Yes,Yes,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.05,494.31,31.9,11,1,3,1,44.94,New,40.8,No
40,2020-08-27,98,Male,0,Yes,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),81.61,3255.85,65.3,14,3,3,2,81.4,Loyal,50.2,No
17,2022-07-11,110,Male,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,95.59,1622.63,80.8,22,8,9,0,95.45,Regular,35.0,Yes
3,2023-09-27,3,Female,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.74,90.79,65.0,12,1,1,2,30.26,New,49.6,No
4,2023-08-04,18,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.71,90.47,63.1,15,4,7,0,22.62,New,40.6,Yes
69,2018-03-14,225,Female,0,No,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),93.32,6439.77,90.4,22,4,9,1,93.33,Veteran,64.1,No
64,2018-08-26,295,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.32,1493.82,108.7,22,3,7,1,23.34,Veteran,73.3,No
46,2020-02-22,111,Female,1,Yes,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,47.16,2175.64,77.1,21,0,3,2,47.3,Loyal,70.0,No
10,2023-02-04,62,Male,0,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,82.65,829.09,28.2,19,3,2,1,82.91,New,35.7,Yes
70,2018-02-11,128,Female,0,No,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),99.82,6990.43,84.4,19,4,4,1,99.86,Veteran,60.3,No
53,2019-07-26,235,Male,0,Yes,Yes,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,77.04,4080.32,99.2,18,3,2,2,76.99,Veteran,67.5,No
48,2019-12-07,186,Female,0,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),88.56,4247.88,115.6,26,4,4,0,88.5,Loyal,65.1,Yes
24,2021-12-10,220,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.0,479.16,65.0,20,0,3,0,19.96,Regular,66.3,No
10,2023-02-28,293,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.0,201.12,42.3,16,2,2,0,20.11,New,45.1,Yes
3,2023-09-23,15,Female,0,No,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,95.45,294.76,59.0,13,5,7,3,98.25,New,26.1,Yes
64,2018-08-06,165,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.0,1278.99,76.7,20,1,1,0,19.98,Veteran,76.8,No
25,2021-11-20,277,Male,1,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),87.91,2198.66,41.9,14,4,4,1,87.95,Loyal,39.4,No
8,2023-05-01,179,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.7,181.68,46.1,10,2,3,0,22.71,New,39.4,Yes
12,2022-12-13,50,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,77.96,935.45,46.0,16,3,5,2,77.95,New,33.2,Yes
36,2020-12-05,217,Female,0,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),89.3,3216.46,86.7,23,3,3,1,89.35,Loyal,62.7,No
7,2023-05-16,347,Male,0,No,No,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),94.28,664.57,29.5,21,4,7,0,94.94,New,31.9,Yes
60,2018-12-02,155,Female,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.0,1200.51,46.0,12,5,5,2,20.01,Veteran,45.3,No
51,2019-09-28,197,Male,0,No,No,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),45.59,2324.75,66.7,16,2,6,0,45.58,Veteran,58.7,No
48,2019-12-11,265,Male,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),108.33,5190.45,58.1,11,3,3,1,108.13,Loyal,51.4,No
23,2022-01-11,302,Female,0,No,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,106.77,2456.05,69.5,21,2,6,2,106.78,Regular,48.4,No
40,2020-08-02,1,Male,0,Yes,No,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),75.01,3001.74,78.0,21,1,1,0,75.04,Loyal,74.6,No
36,2020-12-16,20,Female,0,No,No,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.4,769.05,55.7,11,1,3,1,21.36,Loyal,58.9,No
42,2020-06-07,176,Male,0,Yes,No,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),100.0,4200.88,87.6,20,4,6,0,100.02,Loyal,55.1,No
3,2023-09-27,11,Male,0,No,No,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,58.0,170.72,37.3,19,3,7,1,56.91,New,35.6,Yes
21,2022-03-31,336,Female,0,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Mailed check,82.19,1734.12,49.3,15,5,6,0,82.58,Regular,41.6,No
1,2023-11-10,11,Male,0,Yes,No,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.31,86.84,54.4,10,5,4,1,86.84,New,30.0,Yes
28,2021-08-31,224,Female,0,Yes,Yes,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,65.95,1851.81,57.7,14,3,3,0,66.14,Loyal,51.8,No
14,2022-10-05,213,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,106.2,1491.38,96.6,26,2,4,2,106.53,Regular,62.7,No
5,2023-08-01,9,Female,0,Yes,Yes,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),62.99,316.2,51.6,23,1,0,1,63.24,New,52.6,Yes
4,2023-08-12,28,Female,0,No,No,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),63.57,259.85,33.8,16,2,3,0,64.96,New,45.0,No
36,2020-12-18,281,Female,0,Yes,No,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,56.57,2035.89,59.4,15,3,2,0,56.55,Loyal,57.7,No
6,2023-06-13,174,Male,0,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,111.78,672.76,69.2,19,5,6,0,112.13,New,39.2,Yes
