tenure,signup_date,last_active_days,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,avg_monthly_usage,number_of_logins,complaints_count,customer_support_calls,late_payments,charges_per_month,tenure_group,engagement_score,Churn,cluster,customer_segment,churn_prob,expected_remaining,CLV
44,2020-04-26,96,Female,0,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,98.99,4352.45,69.2,14,4,5,1,98.92,Loyal,51.2,Yes,1,Veteran Champion,0.4539801,28,1513.4143098402021
23,2022-01-04,242,Male,0,No,No,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,99.8,2293.08,94.4,23,2,3,2,99.7,Regular,60.6,No,1,Veteran Champion,0.06521236,49,4571.298473286629
4,2023-08-16,27,Male,0,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,68.85,273.32,37.5,21,4,4,0,68.33,New,32.6,Yes,3,Loyal Mid-tier,0.7823803,68,1018.8519916176795
25,2021-11-11,258,Male,0,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,89.11,2229.76,47.4,15,5,7,1,89.19,Loyal,31.6,Yes,3,Loyal Mid-tier,0.8260332,47,728.6026374953985
26,2021-10-07,258,Female,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,35.0,910.47,97.0,23,0,1,0,35.02,Loyal,74.7,No,2,Veteran Champion,0.016983613,46,1582.6563584804535
54,2019-06-09,235,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.0,1080.79,63.8,7,2,5,1,20.01,Veteran,57.5,No,0,Loyal Mid-tier,0.011669415,18,355.79901695251465
17,2022-07-24,328,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.0,338.95,76.7,20,1,0,1,19.94,Regular,61.3,No,0,Loyal Mid-tier,0.032839607,55,1063.8764441013336
8,2023-04-11,269,Female,0,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.93,238.08,82.4,19,0,2,0,29.76,New,68.9,No,0,Loyal Mid-tier,0.028220132,64,1861.4638013076783
60,2018-12-16,20,Female,0,No,No,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),60.14,3605.96,67.9,23,3,3,0,60.1,Veteran,63.5,No,1,Veteran Champion,0.021035137,12,706.4993639230729
1,2023-11-11,29,Female,1,No,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,94.18,96.96,43.1,20,4,4,3,96.96,New,36.3,Yes,3,Loyal Mid-tier,0.972272,71,185.4111772310734
23,2022-01-12,317,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,79.66,1830.08,71.6,19,3,5,1,79.57,Regular,48.1,No,3,Loyal Mid-tier,0.6946624,49,1191.8364982664584
60,2018-12-19,67,Female,0,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.0,1200.79,106.0,18,1,1,3,20.01,Veteran,76.0,No,2,Veteran Champion,0.0028840331,12,239.3078327178955
6,2023-06-13,346,Female,0,Yes,No,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Electronic check,63.61,378.86,18.0,15,1,2,2,63.14,New,41.8,No,0,Loyal Mid-tier,0.22394526,66,3258.0795725512507
41,2020-07-16,352,Female,0,No,No,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.0,821.05,39.6,18,0,1,0,20.03,Loyal,61.5,No,0,Loyal Mid-tier,0.0044929422,31,617.214378118515
56,2019-05-01,147,Male,1,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),33.78,1891.63,31.4,15,1,1,1,33.78,Veteran,61.0,No,0,Loyal Mid-tier,0.0063529275,16,537.0463838195801
7,2023-05-22,99,Male,0,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),94.69,661.05,60.4,12,3,3,0,94.44,New,39.8,No,3,Loyal Mid-tier,0.33536565,65,4090.724710398912
10,2023-02-02,123,Male,0,No,Yes,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,61.03,609.98,54.1,12,0,3,0,61.0,New,50.6,No,0,Loyal Mid-tier,0.116530016,62,3342.9267897975446
51,2019-09-13,224,Male,0,No,No,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,66.46,3389.12,65.5,21,3,4,1,66.45,Veteran,63.8,No,1,Veteran Champion,0.009086991,21,1382.9776843142508
11,2023-01-27,43,Male,0,No,No,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),77.32,846.0,96.9,18,1,2,1,76.91,New,63.0,No,0,Loyal Mid-tier,0.049849767,61,4481.402663679122
7,2023-05-31,200,Female,0,No,No,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,97.21,672.51,48.4,17,3,6,1,96.07,New,42.0,Yes,3,Loyal Mid-tier,0.79391795,65,1302.1603201597927
24,2021-12-24,36,Male,0,No,No,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,114.15,2742.55,71.5,19,3,3,1,114.27,Regular,55.4,No,1,Veteran Champion,0.21471526,48,4302.732243919373
37,2020-11-02,278,Male,0,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),89.4,3303.61,68.9,13,2,3,1,89.29,Loyal,55.3,No,1,Veteran Champion,0.25043684,35,2345.3831200003624
41,2020-07-30,269,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),89.84,3684.78,98.3,20,3,3,0,89.87,Loyal,69.7,Yes,1,Veteran Champion,0.13778079,31,2401.3150009822843
5,2023-07-13,5,Male,1,Yes,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),80.11,401.68,82.4,18,4,5,1,80.34,New,41.5,Yes,3,Loyal Mid-tier,0.91928047,67,433.25158686220647
20,2022-04-20,58,Male,1,No,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),100.1,2007.28,48.8,21,3,6,0,100.36,Regular,45.4,Yes,3,Loyal Mid-tier,0.70999557,52,1509.5310704946517
2,2023-10-15,4,Female,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),100.09,200.43,94.2,16,4,9,0,100.22,New,42.6,Yes,3,Loyal Mid-tier,0.87737143,70,859.1725472092629
20,2022-04-14,43,Female,0,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),74.1,1471.93,32.1,9,4,9,0,73.6,Regular,30.2,Yes,3,Loyal Mid-tier,0.65833145,52,1316.5172422170638
3,2023-09-27,6,Female,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),30.72,91.5,67.2,12,4,6,0,30.5,New,35.3,No,3,Loyal Mid-tier,0.63429624,69,775.1749493408203
18,2022-06-30,226,Male,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),119.69,2153.9,44.6,8,3,3,2,119.66,Regular,43.0,No,3,Loyal Mid-tier,0.5318479,54,3025.788779386282
40,2020-08-28,341,Female,0,No,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,99.8,3992.73,97.3,23,3,3,0,99.82,Loyal,72.0,No,1,Veteran Champion,0.016045582,32,3142.356866455078
53,2019-07-20,194,Female,0,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,91.18,4833.26,52.9,16,2,2,2,91.19,Veteran,59.2,No,1,Veteran Champion,0.051988225,19,1642.354526231289
22,2022-02-25,182,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),81.43,1794.46,83.0,26,4,8,0,81.57,Regular,53.0,No,3,Loyal Mid-tier,0.20238252,50,3247.4996311366563
20,2022-04-10,125,Male,0,Yes,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,92.77,1854.31,80.1,17,4,3,0,92.72,Regular,52.1,Yes,3,Loyal Mid-tier,0.39065966,52,2939.482029519081
40,2020-08-03,283,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.0,799.86,51.8,9,3,3,1,20.0,Loyal,45.0,No,0,Loyal Mid-tier,0.04090437,32,613.8212203979492
11,2023-01-12,355,Male,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),29.16,320.21,68.1,17,0,4,1,29.11,New,56.2,No,0,Loyal Mid-tier,0.07624133,61,1643.1449995779992
65,2018-07-26,179,Male,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),81.11,5263.9,115.4,23,4,5,0,80.98,Veteran,74.2,No,1,Veteran Champion,0.0066551827,7,563.9914017301797
29,2021-07-20,150,Female,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,34.49,1001.78,57.5,16,1,3,0,34.54,Loyal,51.7,No,0,Loyal Mid-tier,0.01781333,43,1456.6515921986104
27,2021-09-22,235,Male,0,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,87.76,2363.81,64.4,14,2,3,0,87.55,Loyal,46.2,No,0,Loyal Mid-tier,0.3670846,45,2499.509409284592
39,2020-09-25,18,Female,0,Yes,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,89.7,3502.87,70.4,19,2,4,0,89.82,Loyal,60.5,No,1,Veteran Champion,0.020835528,33,2898.42478069067
0,2023-12-07,6,Female,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,92.87,0.0,23.5,13,6,5,1,92.87,New,23.1,Yes,3,Loyal Mid-tier,0.95793873,72,281.24856564044956
16,2022-08-12,92,Male,1,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),22.37,356.75,63.0,13,0,0,1,22.3,Regular,63.2,No,0,Loyal Mid-tier,0.011915388,56,1237.7933579969406
41,2020-07-15,358,Female,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),28.16,1152.1,65.9,15,1,2,0,28.1,Loyal,57.1,No,0,Loyal Mid-tier,0.0030086222,31,870.3336090087892
72,2017-12-05,21,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),96.71,6954.03,30.2,17,4,5,0,96.58,Veteran,50.1,No,1,Veteran Champion,0.061508074,0,0.0
62,2018-10-06,350,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),114.2,7079.67,74.3,21,2,3,2,114.19,Veteran,69.6,No,1,Veteran Champion,0.021115929,10,1117.8856432437897
28,2021-08-02,248,Female,1,No,Yes,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,60.33,1685.34,115.0,19,2,3,0,60.19,Loyal,71.2,No,2,Veteran Champion,0.054957062,44,2508.6354588747026
63,2018-09-23,150,Male,1,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.41,2042.42,69.9,16,0,4,0,32.42,Veteran,73.1,No,2,Veteran Champion,0.01307434,9,287.87634622156617
71,2018-01-11,10,Male,0,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),75.19,5336.7,92.7,22,4,3,0,75.16,Veteran,64.4,No,1,Veteran Champion,0.019002225,1,73.76122464418411
29,2021-07-23,65,Female,0,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,90.99,2637.53,125.5,27,4,7,0,90.95,Loyal,64.1,No,1,Veteran Champion,0.43770817,43,2200.006264951229
48,2019-12-05,307,Male,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),83.66,4011.28,119.7,13,2,2,0,83.57,Loyal,80.0,No,2,Veteran Champion,0.0058974503,24,1995.9988391590118
10,2023-02-07,167,Male,0,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,83.47,836.98,50.9,11,2,5,0,83.7,New,47.1,Yes,3,Loyal Mid-tier,0.3440481,62,3394.642696168423
68,2018-04-18,54,Female,0,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,97.43,6619.18,48.8,7,3,4,0,97.34,Veteran,57.7,No,1,Veteran Champion,0.026105309,4,379.5462484502793
49,2019-11-03,44,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,106.98,5246.61,64.5,14,5,6,1,107.07,Veteran,45.2,No,1,Veteran Champion,0.39163423,23,1496.9083219385147
4,2023-08-08,11,Male,1,Yes,Yes,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),37.38,147.2,62.9,23,1,1,2,36.8,New,56.1,No,0,Loyal Mid-tier,0.21724279,68,1989.6436188268663
43,2020-05-31,253,Male,1,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),33.48,1441.11,74.5,21,0,0,0,33.51,Loyal,66.4,No,2,Veteran Champion,0.012615496,29,958.6713569140434
49,2019-11-18,81,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.06,1178.73,67.3,14,1,0,0,24.06,Veteran,73.7,No,2,Veteran Champion,0.00056251313,23,553.0687298190594
21,2022-03-29,62,Female,0,No,No,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,95.79,2009.36,94.8,20,7,8,1,95.68,Regular,34.3,Yes,3,Loyal Mid-tier,0.94494206,51,268.9740177100897
27,2021-09-30,110,Male,1,No,No,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Electronic check,68.52,1849.57,74.5,16,2,3,0,68.5,Loyal,56.5,No,0,Loyal Mid-tier,0.06818129,45,2873.1698525905604
20,2022-04-11,155,Female,0,Yes,Yes,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,81.96,1635.82,85.9,20,4,7,0,81.79,Regular,51.8,No,3,Loyal Mid-tier,0.31783062,52,2907.351314649582
23,2022-01-29,323,Male,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,29.11,672.08,77.8,17,1,3,0,29.22,Regular,54.2,No,0,Loyal Mid-tier,0.009300215,49,1413.124242172241
2,2023-10-26,22,Male,0,No,No,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.0,40.42,32.5,13,1,0,0,20.21,New,49.9,No,0,Loyal Mid-tier,0.12215284,70,1228.9859890937805
8,2023-04-09,16,Female,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.81,252.03,65.7,21,3,5,1,31.5,New,44.9,No,0,Loyal Mid-tier,0.36248296,64,1297.8826805496215
60,2018-12-15,116,Female,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.97,1258.61,68.8,9,0,4,1,20.98,Veteran,62.2,No,2,Veteran Champion,0.0025391479,12,251.0010463142395
68,2018-04-05,194,Female,0,No,No,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,77.22,5250.08,71.9,24,3,4,1,77.21,Veteran,62.9,No,1,Veteran Champion,0.0037743913,4,307.71416193008423
44,2020-04-06,266,Female,0,Yes,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),95.89,4223.1,47.3,17,5,6,0,95.98,Loyal,47.7,No,1,Veteran Champion,0.08113583,28,2467.0768425679207
1,2023-11-14,11,Male,1,Yes,No,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),97.67,96.45,18.0,17,3,2,1,96.45,New,39.6,Yes,3,Loyal Mid-tier,0.76371354,71,1638.5450063067674
11,2023-01-31,12,Female,0,Yes,Yes,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,58.55,640.47,68.9,11,3,3,0,58.22,New,47.6,No,0,Loyal Mid-tier,0.15811326,61,3006.8406534075734
14,2022-10-11,27,Male,0,Yes,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),47.29,656.7,48.2,12,1,1,1,46.91,Regular,46.5,No,0,Loyal Mid-tier,0.011432574,58,2711.4624687063697
48,2019-12-21,9,Male,0,No,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),84.15,4044.65,84.1,22,2,5,0,84.26,Loyal,66.2,No,1,Veteran Champion,0.0062878584,24,2006.9010121107103
30,2021-06-25,196,Female,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,34.31,1027.18,61.2,14,1,5,0,34.24,Loyal,51.8,No,0,Loyal Mid-tier,0.016848506,42,1416.7409679830075
43,2020-05-14,153,Male,0,No,No,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),108.18,4652.89,69.4,15,2,3,0,108.21,Loyal,61.7,No,1,Veteran Champion,0.12665701,29,2739.8690978336335
22,2022-02-25,255,Female,0,Yes,Yes,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),49.63,1092.87,37.5,13,0,3,3,49.68,Regular,44.5,No,0,Loyal Mid-tier,0.26218128,50,1830.8971486091614
25,2021-11-22,45,Female,0,Yes,No,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),92.96,2327.15,68.7,17,4,5,0,93.09,Loyal,45.5,No,3,Loyal Mid-tier,0.53705853,47,2022.6468256282806
43,2020-05-04,291,Female,1,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,82.82,3561.94,71.8,21,3,2,1,82.84,Loyal,63.6,No,1,Veteran Champion,0.092903666,29,2178.645814703703
32,2021-04-02,327,Male,1,Yes,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),72.73,2325.41,86.0,24,4,5,1,72.67,Loyal,58.0,No,1,Veteran Champion,0.5003632,40,1453.5434626340868
62,2018-10-06,49,Male,0,No,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,89.9,5574.44,80.7,22,4,4,2,89.91,Veteran,64.2,No,1,Veteran Champion,0.012547721,10,887.719589471817
72,2017-12-27,226,Male,0,No,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,109.61,7890.3,67.0,15,2,4,0,109.59,Veteran,63.7,No,1,Veteran Champion,0.03205392,0,0.0
49,2019-11-26,157,Female,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),36.52,1791.78,50.3,10,1,4,2,36.57,Veteran,56.1,No,0,Loyal Mid-tier,0.0307874,23,814.0998084807396
15,2022-09-23,87,Male,0,No,No,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,66.3,994.28,57.6,22,1,2,1,66.29,Regular,56.4,No,0,Loyal Mid-tier,0.06784319,57,3522.713767504692
58,2019-02-18,222,Male,0,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),69.5,4034.39,71.0,19,3,7,0,69.56,Veteran,57.2,No,1,Veteran Champion,0.01641146,14,957.0316267609596
15,2022-09-25,339,Female,0,Yes,Yes,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,73.3,1101.96,67.5,9,4,5,0,73.46,Regular,42.0,No,3,Loyal Mid-tier,0.38240203,57,2580.3859430193897
18,2022-06-06,210,Female,0,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.0,359.07,67.2,11,0,2,1,19.95,Regular,58.2,No,0,Loyal Mid-tier,0.0069271675,54,1072.5186324119568
54,2019-06-11,87,Female,0,Yes,Yes,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,80.1,4324.85,67.7,12,3,2,1,80.09,Veteran,52.9,No,1,Veteran Champion,0.044860907,18,1377.1195551753044
2,2023-10-03,0,Female,1,Yes,No,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),58.89,120.33,64.2,13,4,4,1,60.16,New,39.3,No,3,Loyal Mid-tier,0.8138224,70,767.4799672722817
26,2021-10-28,184,Female,0,No,Yes,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),93.48,2435.36,100.6,16,2,5,1,93.67,Loyal,62.8,No,1,Veteran Champion,0.022508025,46,4203.293691129685
